college_code,college_name,student_count
2116,RAJALAKSHMI ENGINEERING COLLEGE,0,
4217,S.R.I COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
587,A R J POLYTECHNIC COLLEGE,0,
306,SRIRAM POLYTECHNIC COLLEGE,0,
6133,VIVEKANANDHA INSTITUTE OF INFORMATION AND MANAGEMENT STUDIES,0,
372,PANIMALAR POLYTECHNIC COLLEGE,0,
142,GOVERNMENT POLYTECHNIC COLLEGE,0,
774,UDAYA INSTITUTE OF TECHNOLOGY,0,
7182,AMRITA INSTITUTE OF TECHNOLOGY AND SCIENCE,0,
3127,THE NEW ROYAL COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
823,BWDA POLYTECHNIC COLLEGE,0,
7138,SRI RAMAKRISHNA INSTITUTE OF TECHNOLOGY,0,
7202,AJK INSTITUTE OF MANAGEMENT,0,
7181,SRI RAMAKRISHNA ENGINEERING COLLEGE,0,
1516,Thanthai Periyar Government Institute of Technology, Vellore ,0,
579,SURYA POLYTECHNIC COLLEGE,0,
802,ST. JOSEPH  POLYTECHNIC COLLEGE,0,
176,GOVERNMENT POLYTECHNIC COLLEGE FOR WOMEN,0,
519,SCAD POLYTECHNIC COLLEGE, CHERANMAHADEVI 627414,0,
375,MODERATOR GNANADASAN POLYTECHNIC COLLEGE,0,
2728,TAMILNADU SCHOOL OF ARCHITECTURE,0,
3843,MRK INSTITUTE OF TECHNOLOGY,0,
3825,St.Joseph's College of Engineering and Technology, Thanjavur ,0,
141,GOVERNMENT POLYTECHNIC COLLEGE,0,
7217,P A COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
921,MODERN POLYTECHNIC COLLEGE,0,
340,K L NAGASWAMY MEMORIAL POLYTECHNIC COLLEGE,0,
501,JAYARAJ ANNAPACKIAM C S I POLYTECHNIC COLLEGE,0,
1317,St.JOSEPH'S COLLEGE OF ENGINEERING,0,
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,0,
956,SRS POLYTECHNIC COLLEGE,0,
560,SAMUEL POLYTECHNIC COLLEGE,0,
8202,A.R.J. INSTITUTE OF MANAGEMENT STUDIES,0,
363,SRINIVASA POLYTECHNIC COLLEGE,0,
