college_id,college_code,college_name
1742,918,THIRUMAGAL POLYTECHNIC COLLEGE
1747,925,P S G PONNAMMAL POLYTECHNIC COLLEGE
1743,919,St. JUDE'S POLYTECHNIC COLLEGE
549,2130,SREE SASTHA SCHOOL OF ARCHITECTURE AND PLANNING
1560,701,VETRI VINAYAHA POLYTECHNIC COLLEGE
1764,946,ARASU POLYTECHNIC COLLEGE
1746,924,P S V POLYTECHNIC COLLEGE
1757,938,EASWAR POLYTECHNIC COLLEGE
1748,926,KAMARAJAR POLYTECHNIC COLLEGE
1741,917,SUTHANTHIRA POLYTECHNIC COLLEGE
1750,928,AMMAIAPPAR POLYTECHNIC COLLEGE
1752,933,VELUDAIYAR POLYTECHNIC COLLEGE
1753,934,VETHAMONICKAM MEMORIAL CSI POLYTECHNIC COLLEGE
1754,935,JCT POLYTECHNIC COLLEGE
1755,936,KURINJE  POLYTECHNIC COLLEGE
1749,927,R V REHA POLYTECHNIC COLLEGE
1745,921,MODERN POLYTECHNIC COLLEGE
1759,940,M.S.POLYTECHNIC COLLEGE
1758,939,DON BOSCO POLYTECHNIC COLLEGE
1762,944,MADURAI INSTITUTE OF ENGINEERING AND TECHNOLOGY
1738,913,RATHNA POLYTECHNIC COLLEGE
1761,943,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING
1780,211,SRI RAMAKRISHNA MISSION VIDYALAYA POLY. COLLEGE
1765,947,GKM COLLEGE OF ENGINEERING AND TECHNOLOGY
1639,790,PARAMVEER POLYTECHNIC COLLEGE
1779,209,P S G POLYTECHNIC COLLEGE
1766,948,SHRI SAI BABA POLYTECHNIC COLLEGE
1771,953,KMV POLYTECHNIC COLLEGE
1787,276,PERIYAR CENTENARY POLYTECHNIC COLLEGE
1785,226,P A C RAMASAMY RAJA'S POLYTECHNIC COLLEGE
1774,956,SRS POLYTECHNIC COLLEGE
1773,955,NYRUTHI OLYTECHNIC COLLEGE
1776,116,TAMILNADU POLYTECHNIC COLLEGE
1782,216,THIAGARAJAR POLYTECHNIC COLLEGE
1777,175,DR DHARMAMBAL GOVT POLYTECHNIC COLLEGE FOR WOMEN
1768,950,JAYA INSTITUTE OF TECHNOLOGY
